Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Afghanistan,2014,Location,NA,Jalalabad,Average,60.4,44.7,38.5,1,70.1,NA,69,65.8,NA,36.1,93.4,NA,NA,NA,41.6,66.2,11,0,0,100,99.7,9.2,NA,NA,NA,NA,NA,NA,49.7,86.4,14.6,57.9,34.7,13.1,NA,12.5,98.2,71.7,55.3,NA,NA,NA,NA,NA,10.8,80.7,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,86.2,0.7,42
Afghanistan,2014,Location,NA,Kabul,Average,51.6,37.3,41,57.1,29.3,25.2,52,63.2,NA,43.2,69.3,2.9,11.3,-4.6,37.2,73.5,8.9,0,0,100,40.1,16,16.8,60,10,NA,NA,NA,21.4,58.2,39.1,37.5,47.8,14.6,NA,28,92.8,69.3,52.6,NA,NA,NA,NA,NA,15.9,70.9,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,92.6,0.1,34
Afghanistan,2014,Location,NA,Kandahar,Average,23,22.8,18.4,NA,39.8,0,NA,NA,NA,22.6,44.1,NA,6.3,NA,7.6,96.4,8.2,0,0,100,100,3.7,17.6,NA,19,NA,NA,NA,12.8,82.9,21,0.1,NA,8.6,NA,14,93.1,72.2,61.6,NA,NA,NA,NA,NA,9.3,61,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,92,0.1,36.1
Afghanistan,2014,Location,NA,Mazar-E-Sharif,Average,41.6,32.5,29.4,NA,47.2,48.1,NA,41.2,NA,50,58.7,NA,7.3,NA,21.3,88.8,9.3,0,0,100,83.4,4.8,9.2,NA,8.6,NA,NA,NA,49.2,66.9,29.5,9.9,NA,11.8,NA,31.2,98.6,78.1,56,NA,NA,NA,NA,NA,11.4,62.8,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,93,0.1,12.4
Afghanistan,2014,Ownership Type,NA,Domestic,Average,46.8,34.6,34,46.9,31.6,23.4,60.4,53.2,79.3,39.3,62.6,3,6.9,-1.3,28.5,80.7,9.5,0,0,100,68.4,9.8,13.7,100,12.1,NA,NA,NA,27.6,71.9,27.6,31.7,29,13.4,NA,26.9,93.7,70.7,54.9,NA,NA,NA,NA,NA,11,73.4,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,92.3,0.3,33.5
Afghanistan,2014,Sector,Manufacturing,All,Average,48.1,32,26.1,18.4,31,22.8,49.2,56.5,NA,33.8,66.2,26,10.9,NA,41.4,80.7,9.2,0,0,100,68.4,9.5,11.3,100,15.8,NA,NA,NA,25.3,80.7,19.9,38.5,29,13.5,NA,33,96.2,70.7,54.9,NA,NA,NA,NA,NA,13,71.2,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,93.5,0.5,39.3
Afghanistan,2014,Sector,Manufacturing,Manufacturing,Average,48.1,32,26.1,18.4,31,22.8,49.2,56.5,NA,33.8,66.2,26,10.9,NA,41.4,80.7,9.2,0,0,100,68.4,9.5,11.3,100,15.8,NA,NA,NA,25.3,80.7,19.9,38.5,29,13.5,NA,33,96.2,70.7,54.9,NA,NA,NA,NA,NA,13,71.2,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,93.5,0.5,39.3
Afghanistan,2014,Sector,Services,All,Average,46,36.4,39.2,61.2,32,23.7,78.3,39.5,NA,42.8,60.4,-12.5,4.5,-11.3,20.8,NA,9.6,0,0,100,68.4,10.1,15.8,100,9.8,NA,NA,NA,29,66.7,32.1,27.7,NA,13.4,NA,23.3,92.2,NA,NA,NA,NA,NA,NA,NA,9.9,74.7,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,91.6,0.2,30.1
Afghanistan,2014,Sector,Services,Construction,Average,48.7,42.3,42.2,86,34.4,0,63.1,NA,NA,57.1,59.9,NA,-6.3,NA,27.1,NA,9.9,0,0,100,48.6,16.7,18,NA,5.4,NA,NA,NA,32.7,73.8,27.6,49,NA,13.9,NA,65.6,74.2,NA,NA,NA,NA,NA,NA,NA,2.9,77.1,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,94.6,0.3,31.2
Afghanistan,2014,Sector,Services,Other Services,Average,42.9,33,35.8,62.5,32,23.7,82.4,31.5,NA,40.9,59.1,NA,7.1,NA,19.7,NA,9,0,0,100,72.1,8.4,15.7,NA,8.8,NA,NA,NA,30,59.5,35.4,27.9,NA,12.7,NA,15.7,98.6,NA,NA,NA,NA,NA,NA,NA,7.7,75.3,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,90.6,0.2,29.5
Afghanistan,2014,Sector,Services,Retail,Average,49.8,39.2,42.9,47.9,30.3,27.4,NA,43.7,NA,38.7,62.7,NA,5.5,NA,19.7,NA,10.6,0,0,100,71.5,9.4,14.1,NA,12.6,NA,NA,NA,25.5,75.8,28.8,16.9,NA,14.2,NA,15.8,89.8,NA,NA,NA,NA,NA,NA,NA,17.2,72.4,54.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,91.9,0.1,30.5
Afghanistan,2014,Size,NA,Large (100+),Average,72.4,56.4,61.7,97.3,35.8,44.4,91.5,59.9,NA,59.8,50.2,NA,NA,NA,32.3,83.4,12.6,0,0,100,60.6,13.2,16.3,NA,43.4,NA,NA,NA,17.5,65.4,35.6,71.6,NA,15.7,NA,189.1,88.8,69.6,44.4,NA,NA,NA,NA,NA,10,73.1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,98.1,0,33.2
Afghanistan,2014,Size,NA,Medium (20-99),Average,48.9,33.5,27.7,40.6,37.3,24.1,52.2,44.6,NA,42.1,54,27,15.5,10.4,45.5,80.8,10,0,0,100,55.1,12.8,13.2,100,15.3,NA,NA,NA,19.6,70,30,40.7,20.6,14.2,NA,42.7,86.3,72.4,54.1,NA,NA,NA,NA,NA,9.5,75,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,91.6,0.4,35.2
Afghanistan,2014,Size,NA,Small (5-19),Average,43.7,33.2,34.5,44.3,28.2,21.3,61.7,63.3,NA,36.7,66.7,-11.9,3.4,-8.6,22,80.2,9,0,0,100,73.8,8.2,13.7,25,8.1,NA,NA,NA,31.3,73.1,26.1,25.4,26.5,12.9,NA,9,96.7,69.5,57,NA,NA,NA,NA,NA,11.7,72.8,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,92.1,0.3,32.9
Afghanistan,2014,NA,NA,NA,Average,46.8,34.6,34,46.9,31.6,23.4,60.4,53.2,79.3,39.3,62.6,3,6.9,-1.3,28.5,80.7,9.5,0,0,100,68.4,9.8,13.7,100,12.1,NA,NA,NA,27.6,71.9,27.6,31.7,29,13.4,NA,26.9,93.7,70.7,54.9,NA,NA,NA,NA,NA,11,73.4,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,92.3,0.3,33.5
Albania,2007,Exporter Type,NA,Direct exports are 10% or more of sales,Average,49.4,43.6,49.2,79.3,2.7,26.4,73.6,58.3,NA,52.2,63.8,NA,10.1,NA,66.8,73.9,9,28.2,0,73.6,0.3,28.7,NA,NA,30,NA,NA,NA,11.5,30.6,63.5,20.5,45.6,14.5,NA,48.2,96.8,81.7,67.5,NA,NA,NA,NA,NA,41.9,46,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,96.6,0.1,44.7
Albania,2007,Exporter Type,NA,Non-exporter,Average,23.4,19.7,18.9,40.7,11.5,20.8,19,16.7,27.2,58.4,34.5,16.1,17.2,1.1,45.9,72.9,7.5,14.9,0,87,21,17.6,22.2,30,17.7,NA,NA,NA,10.5,22.5,68.9,19.8,57.8,13.2,NA,21.8,96.3,69.8,72.3,NA,NA,NA,NA,NA,4.4,82.3,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,88.3,0.3,47.6
Albania,2007,Location,NA,Durres,Average,0.9,0.9,0,NA,NA,NA,1.6,1.2,NA,78.1,12.1,NA,NA,NA,86.9,72.9,8.1,17.1,0,89.8,5.8,6,NA,1,NA,NA,NA,NA,0,21.1,76.3,24,NA,12.5,NA,23.6,100,77.6,64.5,NA,NA,NA,NA,NA,1.8,90.1,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,100,0,83.3
Albania,2007,Location,NA,Elbasan,Average,44.6,44.3,68.3,NA,NA,NA,NA,NA,NA,88.6,33.9,NA,NA,NA,9.8,92.6,8,19.4,0,91.1,5.9,7.2,NA,NA,NA,NA,NA,NA,14.3,14.3,67,59,NA,12.6,NA,16.7,98.6,75.9,93.2,NA,NA,NA,NA,NA,8.4,68.1,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,85.1,0.7,49.2
Albania,2007,Location,NA,Fier,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2007,Location,NA,Gjirokastra,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,2007,Location,NA,Korca,Average,57.1,38.6,28.6,NA,NA,NA,NA,NA,NA,83.3,12.5,NA,NA,NA,57.1,NA,9.4,25,0,87.5,0,40.6,NA,NA,NA,NA,NA,NA,12.5,0,85.7,NA,NA,9.4,NA,30.1,97.8,NA,NA,NA,NA,NA,NA,NA,25,68.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,100,0,25
Albania,2007,Location,NA,Shkodra,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
