year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city,co2_per_capita_scaled
2000,Afghanistan,1617.82647494969,0.0504760801948225,AFG,Low income,South Asia,Kabul,50476.0801948225
1999,Afghanistan,,0.0691630566199303,AFG,Low income,South Asia,Kabul,69163.0566199303
1998,Afghanistan,,0.0741336271677719,AFG,Low income,South Asia,Kabul,74133.6271677719
1997,Afghanistan,,0.0750375662032016,AFG,Low income,South Asia,Kabul,75037.5662032016
1996,Afghanistan,,0.0797826255599618,AFG,Low income,South Asia,Kabul,79782.6255599618
1995,Afghanistan,,0.0857268287354924,AFG,Low income,South Asia,Kabul,85726.8287354924
1994,Afghanistan,,0.10369954846514,AFG,Low income,South Asia,Kabul,103699.54846514
1993,Afghanistan,,0.119439165928091,AFG,Low income,South Asia,Kabul,119439.16592809101
1992,Afghanistan,,0.137051251098165,AFG,Low income,South Asia,Kabul,137051.251098165
2023,Albania,17975.7983946412,1.67219476382134,ALB,Upper middle income,Europe & Central Asia,Tirane,1672194.76382134
2022,Albania,17097.4783599802,1.65929303100527,ALB,Upper middle income,Europe & Central Asia,Tirane,1659293.03100527
2021,Albania,16113.1365187234,1.79228258263962,ALB,Upper middle income,Europe & Central Asia,Tirane,1792282.58263962
2020,Albania,14650.3959291802,1.60713272623032,ALB,Upper middle income,Europe & Central Asia,Tirane,1607132.72623032
2019,Albania,15065.7495726178,1.73551805047385,ALB,Upper middle income,Europe & Central Asia,Tirane,1735518.0504738502
2018,Albania,14698.5376181768,1.85097837827277,ALB,Upper middle income,Europe & Central Asia,Tirane,1850978.37827277
2017,Albania,14095.7590458888,1.85891071277559,ALB,Upper middle income,Europe & Central Asia,Tirane,1858910.71277559
2016,Albania,13566.905825586,1.57515330650766,ALB,Upper middle income,Europe & Central Asia,Tirane,1575153.3065076598
2015,Albania,13110.6178808108,1.68830316766428,ALB,Upper middle income,Europe & Central Asia,Tirane,1688303.16766428
2014,Albania,12788.747230621,1.76379943401137,ALB,Upper middle income,Europe & Central Asia,Tirane,1763799.4340113702
2013,Albania,12539.7838552215,1.64737424579253,ALB,Upper middle income,Europe & Central Asia,Tirane,1647374.24579253
2012,Albania,12392.6540095883,1.56285286069064,ALB,Upper middle income,Europe & Central Asia,Tirane,1562852.86069064
2011,Albania,12199.3104546351,1.71699317945955,ALB,Upper middle income,Europe & Central Asia,Tirane,1716993.1794595502
2010,Albania,11864.5356788164,1.56432102617866,ALB,Upper middle income,Europe & Central Asia,Tirane,1564321.0261786599
2009,Albania,11383.7887377103,1.46014423817574,ALB,Upper middle income,Europe & Central Asia,Tirane,1460144.23817574
2008,Albania,10940.3606201706,1.423194135406,ALB,Upper middle income,Europe & Central Asia,Tirane,1423194.135406
2007,Albania,10099.2815063827,1.4290827291561,ALB,Upper middle income,Europe & Central Asia,Tirane,1429082.7291561
2006,Albania,9457.38699938185,1.38166585186465,ALB,Upper middle income,Europe & Central Asia,Tirane,1381665.8518646501
2005,Albania,8874.09928781527,1.37755866121952,ALB,Upper middle income,Europe & Central Asia,Tirane,1377558.66121952
2004,Albania,8366.43391357314,1.45823883467754,ALB,Upper middle income,Europe & Central Asia,Tirane,1458238.83467754
2003,Albania,7896.09737787753,1.38543816060976,ALB,Upper middle income,Europe & Central Asia,Tirane,1385438.16060976
2002,Albania,7454.47831321598,1.3131389277649,ALB,Upper middle income,Europe & Central Asia,Tirane,1313138.9277649
2001,Albania,7109.62758104454,1.1238907081397,ALB,Upper middle income,Europe & Central Asia,Tirane,1123890.7081397001
2000,Albania,6503.8345973574,1.04644601682018,ALB,Upper middle income,Europe & Central Asia,Tirane,1046446.0168201799
1999,Albania,6042.7698981677,0.992866007157796,ALB,Upper middle income,Europe & Central Asia,Tirane,992866.0071577961
1998,Albania,5318.9618878105,0.612012670487417,ALB,Upper middle income,Europe & Central Asia,Tirane,612012.670487417
1997,Albania,4856.76828935362,0.502019991226959,ALB,Upper middle income,Europe & Central Asia,Tirane,502019.9912269589
1996,Albania,5418.14832476367,0.648635920143509,ALB,Upper middle income,Europe & Central Asia,Tirane,648635.920143509
1995,Albania,4935.45221980927,0.649353908545874,ALB,Upper middle income,Europe & Central Asia,Tirane,649353.9085458741
1994,Albania,4328.41397768147,0.730810191997845,ALB,Upper middle income,Europe & Central Asia,Tirane,730810.1919978451
1993,Albania,3972.1239285117,0.688720897769551,ALB,Upper middle income,Europe & Central Asia,Tirane,688720.897769551
1992,Albania,3603.48884474812,0.727739950151507,ALB,Upper middle income,Europe & Central Asia,Tirane,727739.950151507
2023,Algeria,15159.324237194,3.90686995051297,DZA,Upper middle income,Middle East & North Africa,Algiers,3906869.95051297
2022,Algeria,14782.2002968893,4.10411424455349,DZA,Upper middle income,Middle East & North Africa,Algiers,4104114.2445534905
2021,Algeria,14496.8654697299,4.01558728484303,DZA,Upper middle income,Middle East & North Africa,Algiers,4015587.28484303
2020,Algeria,14194.1557478261,3.90292776971012,DZA,Upper middle income,Middle East & North Africa,Algiers,3902927.7697101203
2019,Algeria,15199.1989965648,4.19566242824212,DZA,Upper middle income,Middle East & North Africa,Algiers,4195662.428242121
2018,Algeria,15343.4261221255,4.11329387212597,DZA,Upper middle income,Middle East & North Africa,Algiers,4113293.87212597
2017,Algeria,15427.6641894871,3.99506357734631,DZA,Upper middle income,Middle East & North Africa,Algiers,3995063.57734631
2016,Algeria,15511.6858766657,3.94094145853631,DZA,Upper middle income,Middle East & North Africa,Algiers,3940941.4585363097
2015,Algeria,15239.5171455316,4.11954123697958,DZA,Upper middle income,Middle East & North Africa,Algiers,4119541.23697958
2014,Algeria,15073.7629403724,3.95384969852466,DZA,Upper middle income,Middle East & North Africa,Algiers,3953849.69852466
2013,Algeria,14778.1914255494,3.79295442819787,DZA,Upper middle income,Middle East & North Africa,Algiers,3792954.42819787
2012,Algeria,14697.5396133,3.72574195204898,DZA,Upper middle income,Middle East & North Africa,Algiers,3725741.9520489797
2011,Algeria,14641.9640935327,3.38166892915163,DZA,Upper middle income,Middle East & North Africa,Algiers,3381668.92915163
2010,Algeria,14496.4211311825,3.27771433788594,DZA,Upper middle income,Middle East & North Africa,Algiers,3277714.33788594
2009,Algeria,14104.4281721519,3.27089446187558,DZA,Upper middle income,Middle East & North Africa,Algiers,3270894.4618755803
2008,Algeria,14206.7767146731,3.26571868233991,DZA,Upper middle income,Middle East & North Africa,Algiers,3265718.68233991
2007,Algeria,14114.6745191405,3.18555017143317,DZA,Upper middle income,Middle East & North Africa,Algiers,3185550.17143317
2006,Algeria,13920.6940554178,3.13771562073271,DZA,Upper middle income,Middle East & North Africa,Algiers,3137715.62073271
2005,Algeria,13738.4956443574,3.06249773288425,DZA,Upper middle income,Middle East & North Africa,Algiers,3062497.73288425
2004,Algeria,13226.7650480025,2.96128947747975,DZA,Upper middle income,Middle East & North Africa,Algiers,2961289.47747975
2003,Algeria,12835.1814411939,2.99922134069754,DZA,Upper middle income,Middle East & North Africa,Algiers,2999221.34069754
2002,Algeria,12213.1263530633,2.82462177766349,DZA,Upper middle income,Middle East & North Africa,Algiers,2824621.7776634903
2001,Algeria,11742.5946760635,2.73913040286556,DZA,Upper middle income,Middle East & North Africa,Algiers,2739130.40286556
2000,Algeria,11558.2204692724,2.84547322241894,DZA,Upper middle income,Middle East & North Africa,Algiers,2845473.2224189397
1999,Algeria,11292.0372996362,2.78767517106351,DZA,Upper middle income,Middle East & North Africa,Algiers,2787675.1710635102
1998,Algeria,11094.8875367088,2.70974045400012,DZA,Upper middle income,Middle East & North Africa,Algiers,2709740.45400012
1997,Algeria,10725.967349407,2.69177422414411,DZA,Upper middle income,Middle East & North Africa,Algiers,2691774.22414411
1996,Algeria,10808.8788665465,2.80735289072686,DZA,Upper middle income,Middle East & North Africa,Algiers,2807352.89072686
1995,Algeria,10588.4433695616,2.94401607632348,DZA,Upper middle income,Middle East & North Africa,Algiers,2944016.07632348
1994,Algeria,10414.034824164,2.9100149928575,DZA,Upper middle income,Middle East & North Africa,Algiers,2910014.9928575
1993,Algeria,10743.7063534088,3.0418504231103,DZA,Upper middle income,Middle East & North Africa,Algiers,3041850.4231102997
1992,Algeria,11241.4154174565,3.18384375757645,DZA,Upper middle income,Middle East & North Africa,Algiers,3183843.75757645
2023,Angola,7244.89305295156,0.76816250904152,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,768162.50904152
2022,Angola,7397.48642731105,0.767587420793175,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,767587.420793175
2021,Angola,7408.12659121059,0.731567420293545,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,731567.420293545
2020,Angola,7556.96792771976,0.61913898758344,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,619138.98758344
2019,Angola,8274.54256174643,0.851665227724358,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,851665.2277243581
2018,Angola,8620.21466424389,0.839018754260571,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,839018.7542605711
2017,Angola,9042.11712940232,0.924168969446141,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,924168.969446141
2016,Angola,9381.80972573042,1.0720530773493,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1072053.0773493
2015,Angola,9980.92988185425,1.1754292718486,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1175429.2718486
2014,Angola,10250.5924040333,1.13720270585859,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1137202.70585859
2013,Angola,10150.9160957693,1.09052260179579,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1090522.60179579
2012,Angola,10051.3399118452,0.981682218580684,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,981682.218580684
2011,Angola,9627.02059776978,0.976532176921039,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,976532.176921039
2010,Angola,9672.83922433216,0.976178185498281,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,976178.1854982809
2009,Angola,9629.09194801829,0.940848252177258,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,940848.252177258
2008,Angola,9916.90935059131,0.886032980276111,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,886032.980276111
2007,Angola,9263.98070293341,0.820836438095978,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,820836.438095978
2006,Angola,8435.4550466421,0.815387085036386,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,815387.085036386
2005,Angola,7845.89015271542,0.810676972733782,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,810676.972733782
2004,Angola,7074.02594737625,0.951069768682142,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,951069.768682142
2003,Angola,6609.21488902386,0.965775643300561,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,965775.643300561
2002,Angola,6645.47776627718,0.91849471761946,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,918494.71761946
2001,Angola,6049.16321222272,0.966865641126569,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,966865.641126569
2000,Angola,6002.98914011246,1.01957601509466,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1019576.01509466
1999,Angola,6021.22914776477,1.15089867484594,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1150898.67484594
1998,Angola,6090.09587758534,1.12381978934481,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1123819.7893448102
1997,Angola,6015.18684736899,1.11880204193429,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1118802.04193429
1996,Angola,5800.9625138357,1.10640250320144,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,1106402.50320144
1995,Angola,5284.70313321921,0.945511671794974,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,945511.671794974
1994,Angola,4751.47164903966,0.867215446252477,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,867215.446252477
1993,Angola,4843.15588381552,0.946555875493631,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,946555.875493631
1992,Angola,6578.06857492,0.975473352891632,AGO,Lower middle income,Sub-Saharan Africa ,Luanda,975473.352891632
2023,Antigua and Barbuda,28967.2556775267,3.4624287367654,ATG,High income,Latin America & Caribbean ,Saint John's,3462428.7367654
2022,Antigua and Barbuda,28033.1307782063,3.30137871607066,ATG,High income,Latin America & Caribbean ,Saint John's,3301378.71607066
2021,Antigua and Barbuda,25733.2948269644,3.30485441098442,ATG,High income,Latin America & Caribbean ,Saint John's,3304854.41098442
2020,Antigua and Barbuda,23915.1619842858,3.00394138013632,ATG,High income,Latin America & Caribbean ,Saint John's,3003941.38013632
2019,Antigua and Barbuda,29636.8924377024,3.72466179239088,ATG,High income,Latin America & Caribbean ,Saint John's,3724661.7923908797
2018,Antigua and Barbuda,28884.1201297316,3.24329674680509,ATG,High income,Latin America & Caribbean ,Saint John's,3243296.74680509
2017,Antigua and Barbuda,27143.0416282234,3.06185612592298,ATG,High income,Latin America & Caribbean ,Saint John's,3061856.1259229803
2016,Antigua and Barbuda,26637.4181596117,3.49787148906846,ATG,High income,Latin America & Caribbean ,Saint John's,3497871.4890684597
2015,Antigua and Barbuda,25748.624442696,3.25246899081748,ATG,High income,Latin America & Caribbean ,Saint John's,3252468.99081748
2014,Antigua and Barbuda,25565.9656842771,3.14876358925252,ATG,High income,Latin America & Caribbean ,Saint John's,3148763.58925252
2013,Antigua and Barbuda,25211.9241075013,2.94444949127907,ATG,High income,Latin America & Caribbean ,Saint John's,2944449.49127907
2012,Antigua and Barbuda,25597.9939556746,2.59110703644281,ATG,High income,Latin America & Caribbean ,Saint John's,2591107.03644281
2011,Antigua and Barbuda,25028.9661387322,2.45795301857944,ATG,High income,Latin America & Caribbean ,Saint John's,2457953.01857944
2010,Antigua and Barbuda,25831.8137914213,3.26418190342241,ATG,High income,Latin America & Caribbean ,Saint John's,3264181.90342241
2009,Antigua and Barbuda,28411.391371682,3.16253430434938,ATG,High income,Latin America & Caribbean ,Saint John's,3162534.30434938
2008,Antigua and Barbuda,32762.9135009685,2.78246815901196,ATG,High income,Latin America & Caribbean ,Saint John's,2782468.15901196
2007,Antigua and Barbuda,33251.9731474969,2.62288260060707,ATG,High income,Latin America & Caribbean ,Saint John's,2622882.60060707
2006,Antigua and Barbuda,30833.5176024317,2.42915984318396,ATG,High income,Latin America & Caribbean ,Saint John's,2429159.84318396
2005,Antigua and Barbuda,27698.2159589684,2.1605054577885,ATG,High income,Latin America & Caribbean ,Saint John's,2160505.4577885
2004,Antigua and Barbuda,26308.8627715661,2.10749628425158,ATG,High income,Latin America & Caribbean ,Saint John's,2107496.28425158
2003,Antigua and Barbuda,25141.1012020949,2.09670792460582,ATG,High income,Latin America & Caribbean ,Saint John's,2096707.9246058199
2002,Antigua and Barbuda,23962.9657845879,1.94334821892201,ATG,High income,Latin America & Caribbean ,Saint John's,1943348.21892201
2001,Antigua and Barbuda,24019.5911240671,1.73921045366707,ATG,High income,Latin America & Caribbean ,Saint John's,1739210.45366707
2000,Antigua and Barbuda,25552.7238996493,1.80745407945323,ATG,High income,Latin America & Caribbean ,Saint John's,1807454.07945323
1999,Antigua and Barbuda,24467.112019107,2.71767165313713,ATG,High income,Latin America & Caribbean ,Saint John's,2717671.6531371297
1998,Antigua and Barbuda,24000.9381663039,2.7288294757775,ATG,High income,Latin America & Caribbean ,Saint John's,2728829.4757775
1997,Antigua and Barbuda,23355.0144937395,2.71628221187001,ATG,High income,Latin America & Caribbean ,Saint John's,2716282.21187001
1996,Antigua and Barbuda,22601.8809726922,2.62023789001896,ATG,High income,Latin America & Caribbean ,Saint John's,2620237.89001896
1995,Antigua and Barbuda,21643.9909532492,2.69691592485592,ATG,High income,Latin America & Caribbean ,Saint John's,2696915.92485592
1994,Antigua and Barbuda,23086.2457164435,2.62854749188397,ATG,High income,Latin America & Caribbean ,Saint John's,2628547.4918839703
1993,Antigua and Barbuda,22055.9150532998,2.45932883040847,ATG,High income,Latin America & Caribbean ,Saint John's,2459328.8304084702
1992,Antigua and Barbuda,21334.5272625901,2.56971616669772,ATG,High income,Latin America & Caribbean ,Saint John's,2569716.16669772
2023,Argentina,27104.9799978169,4.03567968932418,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4035679.68932418
2022,Argentina,27627.9634764636,4.26096742981134,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4260967.42981134
2021,Argentina,26300.274261175,4.20773343985927,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4207733.43985927
2020,Argentina,23877.0931404855,3.76439263041561,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3764392.63041561
2019,Argentina,26629.5529419501,4.07544537651257,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4075445.37651257
2018,Argentina,27367.115094108,4.25124625791196,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4251246.257911961
2017,Argentina,28334.904184742,4.3211555474833,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4321155.5474833
2016,Argentina,27802.1057201498,4.42297985438054,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4422979.854380541
2015,Argentina,28669.2061336796,4.51393025813273,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4513930.25813273
2014,Argentina,28200.8152571318,4.41804077536038,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4418040.77536038
2013,Argentina,29227.6601818437,4.53801219304993,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4538012.19304993
2012,Argentina,28825.9666865361,4.47955623063869,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4479556.23063869
2011,Argentina,29425.7593876084,4.43018394628793,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4430183.94628793
2010,Argentina,28056.2570212342,4.29667743910718,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4296677.43910718
2009,Argentina,25747.1976809995,4.03659973529201,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4036599.73529201
2008,Argentina,27658.4853446831,4.4357867480596,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4435786.748059601
2007,Argentina,26850.6645932771,4.32708912512489,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4327089.12512489
2006,Argentina,24877.2493922296,4.10421553720694,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,4104215.5372069404
2005,Argentina,23262.4075792816,3.91872470742059,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3918724.7074205903
2004,Argentina,21591.449396517,3.85751040887454,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3857510.40887454
2003,Argentina,20005.1385113465,3.51976128011969,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3519761.28011969
2002,Argentina,18571.7020471274,3.2620858169305,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3262085.8169305
2001,Argentina,21066.4581290433,3.49096906098567,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3490969.06098567
2000,Argentina,22281.3814299958,3.67500561079405,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3675005.61079405
1999,Argentina,22714.5111302701,3.80323167353369,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3803231.67353369
1998,Argentina,23783.1017185449,3.79425483726053,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3794254.83726053
1997,Argentina,23172.1583398342,3.64212643831161,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3642126.43831161
1996,Argentina,21695.5949515372,3.56398428069905,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3563984.28069905
1995,Argentina,20819.4999479903,3.31532174774922,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3315321.7477492196
1994,Argentina,21711.842788091,3.31325436085022,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3313254.36085022
1993,Argentina,20791.3451479504,3.25813902302414,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3258139.02302414
1992,Argentina,19476.2840606477,3.1908502781558,ARG,Upper middle income,Latin America & Caribbean ,Buenos Aires,3190850.2781558
2023,Armenia,19230.1899296884,2.58286803303353,ARM,Upper middle income,Europe & Central Asia,Yerevan,2582868.03303353
2022,Armenia,17886.1783877168,2.45497103596928,ARM,Upper middle income,Europe & Central Asia,Yerevan,2454971.03596928
2021,Armenia,15921.705281964,2.53492218883975,ARM,Upper middle income,Europe & Central Asia,Yerevan,2534922.18883975
2020,Armenia,15052.9359791136,2.33456018909337,ARM,Upper middle income,Europe & Central Asia,Yerevan,2334560.18909337
2019,Armenia,16215.3607965094,2.16847257383966,ARM,Upper middle income,Europe & Central Asia,Yerevan,2168472.5738396603
2018,Armenia,15037.0452420712,2.00434489727181,ARM,Upper middle income,Europe & Central Asia,Yerevan,2004344.8972718099
2017,Armenia,14243.8749003795,1.90931059944955,ARM,Upper middle income,Europe & Central Asia,Yerevan,1909310.59944955
2016,Armenia,13192.9940731731,1.79604317748889,ARM,Upper middle income,Europe & Central Asia,Yerevan,1796043.17748889
2015,Armenia,13112.7600902915,1.86933368834454,ARM,Upper middle income,Europe & Central Asia,Yerevan,1869333.6883445398
2014,Armenia,12667.3757330249,1.91130798327693,ARM,Upper middle income,Europe & Central Asia,Yerevan,1911307.98327693
2013,Armenia,12194.0189523843,1.81747187293183,ARM,Upper middle income,Europe & Central Asia,Yerevan,1817471.87293183
2012,Armenia,11796.2741177994,1.87467345656559,ARM,Upper middle income,Europe & Central Asia,Yerevan,1874673.45656559
2011,Armenia,10990.177099035,1.61950526767727,ARM,Upper middle income,Europe & Central Asia,Yerevan,1619505.26767727
2010,Armenia,10438.5641904169,1.41184971098266,ARM,Upper middle income,Europe & Central Asia,Yerevan,1411849.71098266
2009,Armenia,10143.2350796867,1.46829745596869,ARM,Upper middle income,Europe & Central Asia,Yerevan,1468297.45596869
2008,Armenia,11727.4821272949,1.82961355317288,ARM,Upper middle income,Europe & Central Asia,Yerevan,1829613.55317288
2007,Armenia,10898.8483795634,1.65862135547403,ARM,Upper middle income,Europe & Central Asia,Yerevan,1658621.35547403
2006,Armenia,9525.23146779778,1.42160468165393,ARM,Upper middle income,Europe & Central Asia,Yerevan,1421604.68165393
2005,Armenia,8362.90084037119,1.41828756674294,ARM,Upper middle income,Europe & Central Asia,Yerevan,1418287.5667429399
2004,Armenia,7299.40001858866,1.18771525166672,ARM,Upper middle income,Europe & Central Asia,Yerevan,1187715.25166672
2003,Armenia,6569.26023440631,1.09055773762765,ARM,Upper middle income,Europe & Central Asia,Yerevan,1090557.7376276501
2002,Armenia,5731.35346609213,0.969216826051628,ARM,Upper middle income,Europe & Central Asia,Yerevan,969216.826051628
2001,Armenia,5044.11647826468,1.13123482159537,ARM,Upper middle income,Europe & Central Asia,Yerevan,1131234.82159537
2000,Armenia,4589.00825039977,1.10819285337307,ARM,Upper middle income,Europe & Central Asia,Yerevan,1108192.85337307
1999,Armenia,4406.96706718618,0.980082000804474,ARM,Upper middle income,Europe & Central Asia,Yerevan,980082.000804474
1998,Armenia,4211.51276778797,1.08234600350767,ARM,Upper middle income,Europe & Central Asia,Yerevan,1082346.00350767
1997,Armenia,3879.17938009678,1.02837424517657,ARM,Upper middle income,Europe & Central Asia,Yerevan,1028374.24517657
1996,Armenia,3717.33576522762,0.791189284891887,ARM,Upper middle income,Europe & Central Asia,Yerevan,791189.284891887
1995,Armenia,3480.7559365251,1.07063137682796,ARM,Upper middle income,Europe & Central Asia,Yerevan,1070631.3768279601
1994,Armenia,3200.89649468569,0.834658400230636,ARM,Upper middle income,Europe & Central Asia,Yerevan,834658.400230636
1993,Armenia,2958.88037185647,1.48126505068149,ARM,Upper middle income,Europe & Central Asia,Yerevan,1481265.05068149
1992,Armenia,3136.72428260526,3.07307591196858,ARM,Upper middle income,Europe & Central Asia,Yerevan,3073075.91196858
2023,Aruba,40516.8085633136,4.93670768170344,ABW,High income,Latin America & Caribbean ,Oranjestad,4936707.68170344
2022,Aruba,38877.6744362842,4.68455875500885,ABW,High income,Latin America & Caribbean ,Oranjestad,4684558.75500885
2021,Aruba,35696.3093722926,4.64809656453111,ABW,High income,Latin America & Caribbean ,Oranjestad,4648096.564531109
2020,Aruba,28521.6888517757,4.16808641918462,ABW,High income,Latin America & Caribbean ,Oranjestad,4168086.41918462
2019,Aruba,38435.4269132506,5.10883400639177,ABW,High income,Latin America & Caribbean ,Oranjestad,5108834.006391769
2018,Aruba,39419.5553476692,4.27792265031035,ABW,High income,Latin America & Caribbean ,Oranjestad,4277922.65031035
2017,Aruba,38558.0045581753,4.29116659769164,ABW,High income,Latin America & Caribbean ,Oranjestad,4291166.597691639
2016,Aruba,36021.8308363445,4.45979379546939,ABW,High income,Latin America & Caribbean ,Oranjestad,4459793.79546939
2015,Aruba,35682.3002526702,4.28150427223695,ABW,High income,Latin America & Caribbean ,Oranjestad,4281504.272236951
2014,Aruba,36275.6809553371,4.12613405488404,ABW,High income,Latin America & Caribbean ,Oranjestad,4126134.05488404
2013,Aruba,37255.3534520324,3.90158504849775,ABW,High income,Latin America & Caribbean ,Oranjestad,3901585.04849775
2012,Aruba,35530.2600441558,3.60099894342522,ABW,High income,Latin America & Caribbean ,Oranjestad,3600998.94342522
2011,Aruba,36435.5553328221,2.82870817128208,ABW,High income,Latin America & Caribbean ,Oranjestad,2828708.17128208
