year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city
2009,Afghanistan,2565.02208584099,0.221465726059917,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2008,Afghanistan,2191.50435559062,0.144751528002023,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2007,Afghanistan,2155.35306784413,0.0775612303767694,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2006,Afghanistan,1929.72389709372,0.0553923376777949,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2005,Afghanistan,1908.11478234587,0.0518878290280668,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2004,Afghanistan,1776.91820712187,0.03789792931894,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2003,Afghanistan,1815.92819979586,0.0443407305372896,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2002,Afghanistan,1774.30874287341,0.0440777829029563,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2001,Afghanistan,1454.11078195559,0.0465729492262171,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2000,Afghanistan,1617.82647494969,0.0504760801948225,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1999,Afghanistan,,0.0691630566199303,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1998,Afghanistan,,0.0741336271677719,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1997,Afghanistan,,0.0750375662032016,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1996,Afghanistan,,0.0797826255599618,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1995,Afghanistan,,0.0857268287354924,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1994,Afghanistan,,0.10369954846514,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1993,Afghanistan,,0.119439165928091,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
1992,Afghanistan,,0.137051251098165,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2023,Albania,17975.7983946412,1.67219476382134,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2022,Albania,17097.4783599802,1.65929303100527,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2021,Albania,16113.1365187234,1.79228258263962,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2020,Albania,14650.3959291802,1.60713272623032,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2019,Albania,15065.7495726178,1.73551805047385,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2018,Albania,14698.5376181768,1.85097837827277,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2017,Albania,14095.7590458888,1.85891071277559,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2016,Albania,13566.905825586,1.57515330650766,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2015,Albania,13110.6178808108,1.68830316766428,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2014,Albania,12788.747230621,1.76379943401137,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2013,Albania,12539.7838552215,1.64737424579253,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2012,Albania,12392.6540095883,1.56285286069064,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2011,Albania,12199.3104546351,1.71699317945955,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2010,Albania,11864.5356788164,1.56432102617866,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2009,Albania,11383.7887377103,1.46014423817574,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2008,Albania,10940.3606201706,1.423194135406,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2007,Albania,10099.2815063827,1.4290827291561,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2006,Albania,9457.38699938185,1.38166585186465,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2005,Albania,8874.09928781527,1.37755866121952,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2004,Albania,8366.43391357314,1.45823883467754,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2003,Albania,7896.09737787753,1.38543816060976,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2002,Albania,7454.47831321598,1.3131389277649,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2001,Albania,7109.62758104454,1.1238907081397,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2000,Albania,6503.8345973574,1.04644601682018,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1999,Albania,6042.7698981677,0.992866007157796,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1998,Albania,5318.9618878105,0.612012670487417,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1997,Albania,4856.76828935362,0.502019991226959,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1996,Albania,5418.14832476367,0.648635920143509,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1995,Albania,4935.45221980927,0.649353908545874,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1994,Albania,4328.41397768147,0.730810191997845,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1993,Albania,3972.1239285117,0.688720897769551,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
1992,Albania,3603.48884474812,0.727739950151507,ALB,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Tirane
2023,Algeria,15159.324237194,3.90686995051297,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2022,Algeria,14782.2002968893,4.10411424455349,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2021,Algeria,14496.8654697299,4.01558728484303,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2020,Algeria,14194.1557478261,3.90292776971012,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2019,Algeria,15199.1989965648,4.19566242824212,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2018,Algeria,15343.4261221255,4.11329387212597,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2017,Algeria,15427.6641894871,3.99506357734631,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2016,Algeria,15511.6858766657,3.94094145853631,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2015,Algeria,15239.5171455316,4.11954123697958,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2014,Algeria,15073.7629403724,3.95384969852466,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2013,Algeria,14778.1914255494,3.79295442819787,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2012,Algeria,14697.5396133,3.72574195204898,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2011,Algeria,14641.9640935327,3.38166892915163,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2010,Algeria,14496.4211311825,3.27771433788594,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2009,Algeria,14104.4281721519,3.27089446187558,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2008,Algeria,14206.7767146731,3.26571868233991,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2007,Algeria,14114.6745191405,3.18555017143317,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2006,Algeria,13920.6940554178,3.13771562073271,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2005,Algeria,13738.4956443574,3.06249773288425,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2004,Algeria,13226.7650480025,2.96128947747975,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2003,Algeria,12835.1814411939,2.99922134069754,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2002,Algeria,12213.1263530633,2.82462177766349,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2001,Algeria,11742.5946760635,2.73913040286556,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2000,Algeria,11558.2204692724,2.84547322241894,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1999,Algeria,11292.0372996362,2.78767517106351,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1998,Algeria,11094.8875367088,2.70974045400012,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1997,Algeria,10725.967349407,2.69177422414411,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1996,Algeria,10808.8788665465,2.80735289072686,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1995,Algeria,10588.4433695616,2.94401607632348,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1994,Algeria,10414.034824164,2.9100149928575,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1993,Algeria,10743.7063534088,3.0418504231103,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
1992,Algeria,11241.4154174565,3.18384375757645,DZA,"{'id': 'UMC', 'iso2code': 'XT', 'value': 'Upper middle income'}","{'id': 'MEA', 'iso2code': 'ZQ', 'value': 'Middle East & North Africa'}",Algiers
2023,American Samoa,,0.00210433282127901,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2022,American Samoa,,0.00206859459683091,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2021,American Samoa,,0.00203148806500762,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2020,American Samoa,,0.00200960591627982,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2019,American Samoa,,0.00199167479933876,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2018,American Samoa,,0.00196432780702444,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2017,American Samoa,,0.00193851044857132,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2016,American Samoa,,0.00191405876160398,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2015,American Samoa,,0.00189114565603843,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2014,American Samoa,,0.00187034751056746,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2013,American Samoa,,0.00185164611339481,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2012,American Samoa,,0.00183523279928059,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2011,American Samoa,,0.0018216595318335,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2010,American Samoa,,0.00181067574418773,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2009,American Samoa,,0.00180089324304855,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2008,American Samoa,,0.00179121587733754,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2007,American Samoa,,0.00178211822572309,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2006,American Samoa,,0.00177386738567425,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2005,American Samoa,,0.00176625395199322,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2004,American Samoa,,0.00176000563201802,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2003,American Samoa,,0.0017552790015973,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2002,American Samoa,,0.00175247975885879,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2001,American Samoa,,0.00175275620913887,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2000,American Samoa,,0.00175886025855246,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1999,American Samoa,,0.00177784098990186,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1998,American Samoa,,0.00180720714208263,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1997,American Samoa,,0.00183952025311799,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1996,American Samoa,,0.00187430884861207,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1995,American Samoa,,0.0019114611208808,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1994,American Samoa,,0.00195118144036214,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1993,American Samoa,,0.00199366016068901,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
1992,American Samoa,,0.00203923487907337,ASM,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'EAS', 'iso2code': 'Z4', 'value': 'East Asia & Pacific'}",Pago Pago
2023,Andorra,64631.2963909271,,AND,"{'id': 'HIC', 'iso2code': 'XD', 'value': 'High income'}","{'id': 'ECS', 'iso2code': 'Z7', 'value': 'Europe & Central Asia'}",Andorra la Vella
